"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 2 0 1 28.3 25 46 20 227 301
"2" 4 0 2 18 11 62 6 72 236
"3" 3 1 1 33.9 27 37 9 47 122
"4" 4 1 2 22.7 16 51 6 78 156
"5" 1 1 1 24.5 18 52 19 55 104
"6" 2 1 1 19.8 13 38 22 47 186
"7" 2 1 2 30.2 25 65 13 53 155
"8" 3 1 1 38.6 38 56 19 41 113
"9" 4 1 1 11.4 0 65 17 22 105
"10" 3 1 1 37.7 33 48 24 90 89
"11" 1 1 1 16.1 6 40 17 26 45
"12" 2 0 1 22.7 16 42 24 120 201
"13" 3 1 2 33.9 30 70 19 39 159
"14" 3 0 1 37.7 36 56 28 155 282
"15" 1 1 1 8.6 -4 51 26 3 32
"16" 4 1 1 14.2 5 45 11 19 127
"17" 3 0 1 33 28 58 0 115 223
"18" 1 0 1 13.3 4 70 11 43 42
"19" 3 1 2 31.1 26 79 43 36 115
"20" 3 1 1 37.7 35 52 11 39 86
"21" 3 0 2 33.9 30 70 0 226 263
"22" 1 0 2 23.6 17 77 9 226 359
"23" 1 1 1 7.6 -7 37 35 12 63
"24" 4 1 1 21.7 15 77 13 24 183
"25" 4 0 1 11.4 4 35 0 31 166
"26" 3 1 2 34.9 29 48 7 69 212
"27" 4 0 3 11.4 -1 93 26 1 26
"28" 3 1 2 36.8 33 52 11 69 129
"29" 4 1 2 17 10 66 17 33 164
"30" 3 1 2 33 29 62 17 41 112
"31" 1 0 1 15.1 3 46 39 40 51
"32" 1 1 2 13.3 5 87 7 11 100
"33" 1 1 1 19.8 13 44 15 39 111
"34" 2 1 2 24.5 18 88 11 25 96
"35" 2 1 1 27.4 25 33 28 65 174
"36" 3 1 1 34.9 31 58 6 54 180
"37" 2 0 1 32.1 28 74 13 208 312
"38" 1 0 1 20.8 14 36 30 90 106
"39" 3 0 1 33.9 28 42 0 122 209
"40" 2 1 2 27.4 22 78 0 39 150
"41" 2 0 2 20.8 14 88 15 68 164
"42" 3 0 1 33 28 51 0 180 356
"43" 4 0 1 24.5 18 52 15 204 408
"44" 3 1 1 38.6 33 39 11 55 110
"45" 4 1 1 18 11 47 20 66 185
"46" 1 1 1 15.1 4 53 22 8 65
"47" 1 1 1 6.7 -5 55 11 6 93
"48" 4 1 1 25.5 19 43 0 35 131
