"V4" "V5" "V6" "V7" "V8" "V9"
"1" 41.5 43 50 7 23 86
"2" 30.2 25 74 0 191 314
"3" 25.5 19 68 11 56 145
"4" 27.4 22 78 7 27 67
"5" 31.1 26 69 17 43 138
"6" 11.4 -2 35 33 33 142
"7" 32.1 27 48 13 90 214
"8" 32.1 27 70 7 38 176
"9" 23.6 17 44 22 191 356
"10" 14.2 3 39 24 9 62
"11" 24.5 18 52 13 53 238
"12" 15.1 6 66 13 23 83
"13" 35.8 32 55 17 47 171
"14" 23.6 17 83 11 38 154
"15" 29.2 24 69 7 121 214
"16" 18 11 50 13 121 130
"17" 25.5 19 64 13 18 116
"18" 27.4 25 53 0 52 201
"19" 12.3 3 45 7 19 134
"20" 16.1 8 81 0 51 91
"21" 14.2 5 66 13 45 126
"22" 14.2 3 42 28 12 150
"23" 32.1 27 58 0 55 95
"24" 29.2 25 53 9 173 245
"25" 29.2 25 57 0 56 129
"26" 33 30 74 13 51 161
"27" 8.6 -4 51 26 3 32
"28" 28.3 23 73 7 131 187
"29" 34.9 31 58 9 56 173
"30" 15.1 4 34 20 7 59
"31" 34.9 31 62 0 63 151
"32" 38.6 34 41 13 28 106
"33" 11.4 -1 41 28 33 103
"34" 25.5 19 43 0 132 215
"35" 14.2 3 53 28 44 192
"36" 26.4 20 94 9 7 92
"37" 32.1 27 61 0 77 181
"38" 9.5 -1 100 9 1 46
"39" 14.2 3 51 24 15 132
"40" 14.2 3 81 30 1 18
"41" 23.6 17 72 11 112 255
"42" 6.7 -6 47 15 21 144
"43" 16.1 8 46 7 69 169
"44" 25.5 19 43 13 19 149
"45" 23.6 17 45 13 207 357
"46" 11.4 1 38 0 6 93
"47" 32.1 27 54 9 73 137
"48" 14.2 6 45 9 39 177
"49" 29.2 25 36 28 46 189
"50" 30.2 25 57 15 79 242
"51" 41.5 40 42 0 47 136
"52" 22.7 16 45 28 54 166
"53" 22.7 16 72 11 59 109
"54" 7.6 -2 93 7 0 30
"55" 8.6 0 93 6 7 38
"56" 32.1 28 84 11 10 52
